venue_name,venue_id,sample_venue_url,activity_names,activity_ids
Pasir Ris Primary School Hall,ZB70oL3yg99A7pXWNKhTY,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/ZB70oL3yg99A7pXWNKhTY/timeslots,Pickleball,BPQihVHITc7IPGorVeB2Y
Pasir Ris Secondary School Hall,Zgl7HQ7kn1abhxuCN7VFp,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/Zgl7HQ7kn1abhxuCN7VFp/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Pasir Ris Sport Centre - Table Tennis Area,pM391eCCipwvaX7aL75By,https://activesg.gov.sg/facility-bookings/activities/lpa7rfS4ShmUUt7XsFJlD/venues/pM391eCCipwvaX7aL75By/timeslots,Table Tennis,lpa7rfS4ShmUUt7XsFJlD
Pasir Ris Sport Hall,TbIGpVpUxV6SZrxp9tPkB,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/TbIGpVpUxV6SZrxp9tPkB/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Pasir Ris Swimming Complex - ActiveGroove Dance Zone,FSIi5ztGKYacoPrs1HVxF,https://activesg.gov.sg/facility-bookings/activities/DbJUiIz38SkngQHk2Eg07/venues/FSIi5ztGKYacoPrs1HVxF/timeslots,Dance,DbJUiIz38SkngQHk2Eg07
Pasir Ris Tennis Centre,iAQ3gROSoA2tMUZKUFbni,https://activesg.gov.sg/facility-bookings/activities/B0KovYOcQun1mA4VowDq0/venues/iAQ3gROSoA2tMUZKUFbni/timeslots,Tennis,B0KovYOcQun1mA4VowDq0
Pei Hwa Secondary School Field,NnJ7eeUELPoWuHtrTJc2s,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/NnJ7eeUELPoWuHtrTJc2s/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Pei Tong Primary School Field,2yrbKoMcDD5BSiFkqDmOi,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/2yrbKoMcDD5BSiFkqDmOi/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Peicai Secondary School Hall,V0cHEdFG8rbptwBMI8yGd,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/V0cHEdFG8rbptwBMI8yGd/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Peirce Secondary School Field,IdYDY7MKau9WI9Buyuile,https://activesg.gov.sg/facility-bookings/activities/36qpHdb5jhyxHL6IPeGDV/venues/IdYDY7MKau9WI9Buyuile/timeslots,Rugby,36qpHdb5jhyxHL6IPeGDV
Peirce Secondary School Hall,94bmiFQAdLVfla9P4Slf2,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/94bmiFQAdLVfla9P4Slf2/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Peiying Primary School Hall,1bPUPjQLm6sCem8ewVJPW,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/1bPUPjQLm6sCem8ewVJPW/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Poi Ching School (Primary) Hall,Fe4pq9qbZZkwHPYyWqRN8,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/Fe4pq9qbZZkwHPYyWqRN8/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Princess Elizabeth Primary School Hall,5z1xVPE62nsfUxdkLkZQj,https://activesg.gov.sg/facility-bookings/activities/bkymg5uAXztk5EVTXCmyk/venues/5z1xVPE62nsfUxdkLkZQj/timeslots,Floorball,bkymg5uAXztk5EVTXCmyk
