venue_name,venue_id,sample_venue_url,activity_names,activity_ids
Westwood Secondary School Field,GNtbJ9q4SGwvuDFCs2bR0,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/GNtbJ9q4SGwvuDFCs2bR0/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Westwood Secondary School Hall,QT8qwI8IX05TghAKm2cL1,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/QT8qwI8IX05TghAKm2cL1/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
White Sands Primary School Hall,ug5GwogQNQUGGiZX19KV2,https://activesg.gov.sg/facility-bookings/activities/bkymg5uAXztk5EVTXCmyk/venues/ug5GwogQNQUGGiZX19KV2/timeslots,Floorball,bkymg5uAXztk5EVTXCmyk
Whitley Secondary School Hall,US6TJ1M2qrDBEIXuEBbrT,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/US6TJ1M2qrDBEIXuEBbrT/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Woodgrove Primary School Hall,Qulnp10Fos2i45rlgrA5b,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/Qulnp10Fos2i45rlgrA5b/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Woodgrove Secondary School Field,iDLXL8ik2u4tI2m6sBktl,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/iDLXL8ik2u4tI2m6sBktl/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Woodlands Primary School Hall,63t5cBZesyT4pcqA2A4Cc,https://activesg.gov.sg/facility-bookings/activities/3HIXIVGIe4qgenT2kKc3F/venues/63t5cBZesyT4pcqA2A4Cc/timeslots,Volleyball,3HIXIVGIe4qgenT2kKc3F
Woodlands Ring Primary School Field,4EkBdFhSh3XUwyBbayfmC,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/4EkBdFhSh3XUwyBbayfmC/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Woodlands Secondary School Field,BVVTqrlrJMPpT7qFNpSoq,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/BVVTqrlrJMPpT7qFNpSoq/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Woodlands Secondary School Hall,ZYCSb8V69HUhNJeDKsEJf,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/ZYCSb8V69HUhNJeDKsEJf/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Woodlands Sport Hall,OzrxvbMIJ0qQEw9h0suQT,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/OzrxvbMIJ0qQEw9h0suQT/timeslots,Badminton | Table Tennis,YLONatwvqJfikKOmB5N9U | lpa7rfS4ShmUUt7XsFJlD
Xinghua Primary School Hall,IRzXPAeprtFuFudllhREU,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/IRzXPAeprtFuFudllhREU/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Xingnan Primary School Field,xKBPlxdrXMBv2QUbTX44D,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/xKBPlxdrXMBv2QUbTX44D/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Xingnan Primary School Hall,pzyejUY2TnI3owsynBQYK,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/pzyejUY2TnI3owsynBQYK/timeslots,Pickleball,BPQihVHITc7IPGorVeB2Y
Xinmin Secondary School Field,YsxEVhdn3FZeTHqSL1GcP,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/YsxEVhdn3FZeTHqSL1GcP/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Yangzheng Primary School Hall,UkhnVOqtnuXgxhrU9osWK,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/UkhnVOqtnuXgxhrU9osWK/timeslots,Pickleball,BPQihVHITc7IPGorVeB2Y
Yew Tee Primary School Hall,2WrvLIqNbrSAwb6f2QMkd,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/2WrvLIqNbrSAwb6f2QMkd/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yio Chu Kang Beach Volleyball Courts,YNIkzzzJaEnQHn0kd6Tkg,https://activesg.gov.sg/facility-bookings/activities/9Ew144FICCwnGXbgDXml0/venues/YNIkzzzJaEnQHn0kd6Tkg/timeslots,Beach Volleyball,9Ew144FICCwnGXbgDXml0
Yio Chu Kang Primary School Field,wtt0cEvlysnjW0cxOHMTG,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/wtt0cEvlysnjW0cxOHMTG/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Yio Chu Kang Primary School Hall,rhK3pSR5ifFrB2AVCMOeK,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/rhK3pSR5ifFrB2AVCMOeK/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yio Chu Kang Secondary School Field,LBfgkt9acBccyJ4EAfQKw,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/LBfgkt9acBccyJ4EAfQKw/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Yio Chu Kang Secondary School Hall,nMIUcV8GPzzfSkcxPCrIN,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/nMIUcV8GPzzfSkcxPCrIN/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yio Chu Kang Sport Hall,pYMh2B4kDjs6JEE5SoxbJ,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/pYMh2B4kDjs6JEE5SoxbJ/timeslots,Badminton | Table Tennis,YLONatwvqJfikKOmB5N9U | lpa7rfS4ShmUUt7XsFJlD
Yio Chu Kang Squash Centre,6TDdHvql0H4bq2rHHreuV,https://activesg.gov.sg/facility-bookings/activities/LpU5wm359gvhKzEvHFt6F/venues/6TDdHvql0H4bq2rHHreuV/timeslots,Squash,LpU5wm359gvhKzEvHFt6F
Yio Chu Kang Tennis Centre,xy4lmaxxh1yZQwO9bJ9zP,https://activesg.gov.sg/facility-bookings/activities/Yze2WwODgEaBXVtBQ0ze9/venues/xy4lmaxxh1yZQwO9bJ9zP/timeslots,Mini Tennis | Tennis,Yze2WwODgEaBXVtBQ0ze9 | B0KovYOcQun1mA4VowDq0
Yio Chu Kang Tennis Centre - ActiveGroove Dance Zone,coaGBNwguDdr4MLJO254R,https://activesg.gov.sg/facility-bookings/activities/DbJUiIz38SkngQHk2Eg07/venues/coaGBNwguDdr4MLJO254R/timeslots,Dance,DbJUiIz38SkngQHk2Eg07
Yishun Primary School Field,z4cy2PFBLSrD7w6E8Sbh5,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/z4cy2PFBLSrD7w6E8Sbh5/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Yishun Primary School Hall,ojB243CSdOOmCDy6JZlae,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/ojB243CSdOOmCDy6JZlae/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yishun Secondary School Hall,nm8H0TYFkiiOWvx5YqZB8,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/nm8H0TYFkiiOWvx5YqZB8/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yishun Sport Centre - ActiveGroove Dance Zone,OTylxrtsK1om0x7LP6GV1,https://activesg.gov.sg/facility-bookings/activities/DbJUiIz38SkngQHk2Eg07/venues/OTylxrtsK1om0x7LP6GV1/timeslots,Dance,DbJUiIz38SkngQHk2Eg07
Yishun Sport Hall,gwkeAKobIqSCOXA6OgULY,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/gwkeAKobIqSCOXA6OgULY/timeslots,Badminton | Pickleball | Table Tennis,YLONatwvqJfikKOmB5N9U | BPQihVHITc7IPGorVeB2Y | lpa7rfS4ShmUUt7XsFJlD
Yishun Town Secondary School Hall,P2fLTWSMzdMj3ZI2V1wVy,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/P2fLTWSMzdMj3ZI2V1wVy/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yu Neng Primary School Hall,4tgYHop0DWaE13MTyljP6,https://activesg.gov.sg/facility-bookings/activities/3HIXIVGIe4qgenT2kKc3F/venues/4tgYHop0DWaE13MTyljP6/timeslots,Volleyball,3HIXIVGIe4qgenT2kKc3F
Yuan Ching Secondary School Field,w7Gmaavhsoi5NnyT3A5uY,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/w7Gmaavhsoi5NnyT3A5uY/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Yuan Ching Secondary School Hall,vW0Nt7VfFelL2kKdKIx2p,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/vW0Nt7VfFelL2kKdKIx2p/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yuhua Primary School Hall,sKQu9UyewFBDNeWqqJlil,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/sKQu9UyewFBDNeWqqJlil/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Yuhua Secondary School Field,nRyARaW32XWftLsS1WCyx,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/nRyARaW32XWftLsS1WCyx/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Yuhua Secondary School Hall,G23SjWbjouYpJcM348ftC,https://activesg.gov.sg/facility-bookings/activities/3HIXIVGIe4qgenT2kKc3F/venues/G23SjWbjouYpJcM348ftC/timeslots,Volleyball,3HIXIVGIe4qgenT2kKc3F
Yumin Primary School Hall,Fezl9y3A9c9SpVSyRDr0u,https://activesg.gov.sg/facility-bookings/activities/bkymg5uAXztk5EVTXCmyk/venues/Fezl9y3A9c9SpVSyRDr0u/timeslots,Floorball,bkymg5uAXztk5EVTXCmyk
Yuying Secondary School Hall,OzvJb0FUH0Knj2NJotTyL,https://activesg.gov.sg/facility-bookings/activities/3HIXIVGIe4qgenT2kKc3F/venues/OzvJb0FUH0Knj2NJotTyL/timeslots,Volleyball,3HIXIVGIe4qgenT2kKc3F
Zhenghua Secondary School Hall,NjpJyWVdpfbjwLulgwBcX,https://activesg.gov.sg/facility-bookings/activities/3HIXIVGIe4qgenT2kKc3F/venues/NjpJyWVdpfbjwLulgwBcX/timeslots,Volleyball,3HIXIVGIe4qgenT2kKc3F
Zhonghua Primary School Hall,hk36GXwN2zUdZuB8Ylxt5,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/hk36GXwN2zUdZuB8Ylxt5/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Zhonghua Secondary School Hall,8xQCe0Lzl4RXK40l4ZLU7,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/8xQCe0Lzl4RXK40l4ZLU7/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
